"id","side","nom","vote"
"64","Right","LE PEN",12.15
"64","Right","SARKOZY",23.62
"64","Left","MÉLENCHON",11.88
"64","Left","POUTOU",1.73
"64","Left","ARTHAUD",0.46
"64",NA,"CHEMINADE",0.22
"64","Right","BAYROU",15.67
"64","Right","DUPONT-AIGNAN",1.46
"64","Left","HOLLANDE",29.93
"65","Left","JOLY",2.08
"65","Right","LE PEN",14.91
"65","Right","SARKOZY",20.39
"65","Left","MÉLENCHON",15.16
"65","Left","POUTOU",1.36
"65","Left","ARTHAUD",0.54
"65",NA,"CHEMINADE",0.21
"65","Right","BAYROU",10.55
"65","Right","DUPONT-AIGNAN",1.64
"65","Left","HOLLANDE",33.16
"66","Left","JOLY",2.11
"66","Right","LE PEN",24.23
"66","Right","SARKOZY",25.31
"66","Left","MÉLENCHON",12.77
"66","Left","POUTOU",1.24
"66","Left","ARTHAUD",0.49
"66",NA,"CHEMINADE",0.22
"66","Right","BAYROU",6.29
"66","Right","DUPONT-AIGNAN",1.38
"66","Left","HOLLANDE",25.96
"67","Left","JOLY",2.76
"67","Right","LE PEN",21.21
"67","Right","SARKOZY",33.62
"67","Left","MÉLENCHON",7.22
"67","Left","POUTOU",1.02
"67","Left","ARTHAUD",0.64
"67",NA,"CHEMINADE",0.28
"67","Right","BAYROU",11.94
"67","Right","DUPONT-AIGNAN",1.73
"67","Left","HOLLANDE",19.58
"68","Left","JOLY",2.71
"68","Right","LE PEN",23.43
"68","Right","SARKOZY",31.91
"68","Left","MÉLENCHON",7.42
"68","Left","POUTOU",1.19
"68","Left","ARTHAUD",0.64
"68",NA,"CHEMINADE",0.33
"68","Right","BAYROU",11.39
"68","Right","DUPONT-AIGNAN",2.1
"68","Left","HOLLANDE",18.89
"69","Left","JOLY",2.9
"69","Right","LE PEN",15.09
"69","Right","SARKOZY",30.77
"69","Left","MÉLENCHON",10.74
"69","Left","POUTOU",0.84
"69","Left","ARTHAUD",0.48
"69",NA,"CHEMINADE",0.26
"69","Right","BAYROU",10.3
"69","Right","DUPONT-AIGNAN",1.72
"69","Left","HOLLANDE",26.91
"07","Left","JOLY",2.8
"07","Right","LE PEN",20.04
"07","Right","SARKOZY",23.76
"07","Left","MÉLENCHON",14.07
"07","Left","POUTOU",1.37
"07","Left","ARTHAUD",0.63
"07",NA,"CHEMINADE",0.26
"07","Right","BAYROU",9.15
"07","Right","DUPONT-AIGNAN",1.94
"07","Left","HOLLANDE",25.98
"70","Left","JOLY",1.58
"70","Right","LE PEN",25.12
"70","Right","SARKOZY",25.23
"70","Left","MÉLENCHON",9.64
"70","Left","POUTOU",1.36
"70","Left","ARTHAUD",0.77
"70",NA,"CHEMINADE",0.28
"70","Right","BAYROU",7.61
"70","Right","DUPONT-AIGNAN",2.03
"70","Left","HOLLANDE",26.38
"71","Left","JOLY",1.67
"71","Right","LE PEN",20.03
"71","Right","SARKOZY",26.01
"71","Left","MÉLENCHON",10.64
"71","Left","POUTOU",1.22
"71","Left","ARTHAUD",0.63
"71",NA,"CHEMINADE",0.25
"71","Right","BAYROU",8.83
"71","Right","DUPONT-AIGNAN",2.03
"71","Left","HOLLANDE",28.69
"72","Left","JOLY",1.89
"72","Right","LE PEN",19.17
"72","Right","SARKOZY",26.43
"72","Left","MÉLENCHON",10.78
"72","Left","POUTOU",1.34
"72","Left","ARTHAUD",0.75
"72",NA,"CHEMINADE",0.23
"72","Right","BAYROU",9.14
"72","Right","DUPONT-AIGNAN",2.15
"72","Left","HOLLANDE",28.13
"73","Left","JOLY",3.42
"73","Right","LE PEN",18.92
"73","Right","SARKOZY",28.61
"73","Left","MÉLENCHON",11.47
"73","Left","POUTOU",1.19
"73","Left","ARTHAUD",0.5
"73",NA,"CHEMINADE",0.27
"73","Right","BAYROU",9.89
"73","Right","DUPONT-AIGNAN",2.11
"73","Left","HOLLANDE",23.64
"74","Left","JOLY",3.59
"74","Right","LE PEN",16.56
"74","Right","SARKOZY",34.06
"74","Left","MÉLENCHON",9.23
"74","Left","POUTOU",1.12
"74","Left","ARTHAUD",0.45
"74",NA,"CHEMINADE",0.31
"74","Right","BAYROU",11.83
"74","Right","DUPONT-AIGNAN",2.32
"74","Left","HOLLANDE",20.52
"75","Left","JOLY",4.18
"75","Right","LE PEN",6.2
"75","Right","SARKOZY",32.19
"75","Left","MÉLENCHON",11.09
"75","Left","POUTOU",0.67
"75","Left","ARTHAUD",0.27
"75",NA,"CHEMINADE",0.23
"75","Right","BAYROU",9.34
"75","Right","DUPONT-AIGNAN",1
"75","Left","HOLLANDE",34.83
"76","Left","JOLY",1.63
"76","Right","LE PEN",18.9
"76","Right","SARKOZY",25.02
"76","Left","MÉLENCHON",13.2
"76","Left","POUTOU",1.28
"76","Left","ARTHAUD",0.71
"76",NA,"CHEMINADE",0.24
"76","Right","BAYROU",7.83
"76","Right","DUPONT-AIGNAN",1.79
"76","Left","HOLLANDE",29.4
"77","Left","JOLY",1.96
"77","Right","LE PEN",19.65
"77","Right","SARKOZY",27.27
"77","Left","MÉLENCHON",11.01
"77","Left","POUTOU",1.02
"77","Left","ARTHAUD",0.46
"77",NA,"CHEMINADE",0.26
"77","Right","BAYROU",8.55
"77","Right","DUPONT-AIGNAN",2.18
"77","Left","HOLLANDE",27.65
"78","Left","JOLY",2.5
"78","Right","LE PEN",12.44
"78","Right","SARKOZY",34.24
"78","Left","MÉLENCHON",9.11
"78","Left","POUTOU",0.8
"78","Left","ARTHAUD",0.35
"78",NA,"CHEMINADE",0.28
"78","Right","BAYROU",11.24
"78","Right","DUPONT-AIGNAN",1.73
"78","Left","HOLLANDE",27.32
"79","Left","JOLY",2.02
"79","Right","LE PEN",13.57
"79","Right","SARKOZY",25.01
"79","Left","MÉLENCHON",10.24
"79","Left","POUTOU",1.6
"79","Left","ARTHAUD",0.73
"79",NA,"CHEMINADE",0.26
"79","Right","BAYROU",11
"79","Right","DUPONT-AIGNAN",2.23
"79","Left","HOLLANDE",33.34
"08","Left","JOLY",1.22
"08","Right","LE PEN",24.5
"08","Right","SARKOZY",24.43
"08","Left","MÉLENCHON",9.28
"08","Left","POUTOU",1.29
"08","Left","ARTHAUD",0.77
