"ville","users","lon","lat","address"
"saint martin d heres",2,5.767761,45.165133,"saint-martin-d'hères, france"
"saint maur des fosses",32,2.485429,48.8029439,"saint-maur-des-fossés, france"
"saint nazaire",66,-2.213848,47.2734979,"saint-nazaire, france"
"saint omer",17,2.252208,50.750115,"saint-omer, france"
"saint ouen",47,2.333764,48.911856,"saint-ouen, france"
"saint paul",16,2.360738,48.855209,"saint-paul, 75004 paris, france"
"saint pierre",48,55.47184,-21.33284,"saint-pierre, reunion"
"saint priest",18,4.947071,45.698938,"saint-priest, france"
"saint quentin",62,3.2874,49.847066,"saint-quentin, france"
"saint raphael",31,6.76837,43.42519,"saint-raphaël, france"
"sainte genevieve des bois",4,2.3259213,48.6408416,"sainte-geneviève-des-bois, france"
"sainte marie",14,4.801753,47.291427,"21410 sainte-marie-sur-ouche, france"
"sainte menehould",3,4.892978,49.090822,"sainte-menehould, france"
"saintes",47,-0.633389,45.744175,"saintes, france"
"salon de provence",49,5.097022,43.640199,"salon-de-provence, france"
"sarcelles",21,2.378493,48.997347,"sarcelles, france"
"sarlat la caneda",9,1.217292,44.890891,"sarlat-la-canéda, france"
"sarrebourg",8,7.052587,48.732663,"arrondissement of sarrebourg, france"
"sarreguemines",14,7.070862,49.106031,"sarreguemines, france"
"sartene",2,8.97472,41.621822,"sartène, france"
"sartrouville",25,2.158431,48.941106,"sartrouville, france"
"saumur",27,-0.080893,47.260135,"saumur, france"
"saverne",16,7.361647,48.741963,"saverne, france"
"savigny sur orge",13,2.349282,48.6851259,"savigny-sur-orge, france"
"schiltigheim",14,7.748453,48.605226,"schiltigheim, france"
"sedan",11,4.93863,49.70349,"sedan, france"
"segre",6,-0.868363,47.689224,"49500 segré, france"
"selestat",16,7.454241,48.259386,"sélestat, france"
"senlis",15,2.583212,49.205164,"senlis, france"
"sens",26,3.28268,48.20065,"89100 sens, france"
"sete",53,3.7008219,43.4078758,"sète, france"
"sevran",22,2.538716,48.93897,"sevran, france"
"six fours les plages",16,5.839225,43.093062,"six-fours-les-plages, france"
"soissons",35,3.32342,49.376636,"soissons, france"
"sotteville les rouen",3,1.095407,49.41725,"sotteville-lès-rouen, france"
"stains",19,2.384703,48.955387,"stains, france"
"strasbourg",1111,7.7521113,48.5734053,"strasbourg, france"
"suresnes",62,2.219033,48.869798,"suresnes, france"
"talence",26,-0.588054,44.802614,"talence, france"
"tarbes",55,0.078082,43.232951,"tarbes, france"
"thann",5,7.102382,47.810702,"thann, france"
"thiers",8,3.545177,45.857907,"thiers, france"
"thionville",46,6.168426,49.357571,"thionville, france"
"thonon les bains",29,6.477635,46.373565,"thonon-les-bains, france"
"torcy",23,2.654472,48.850572,"torcy, france"
"toul",22,5.890159,48.678296,"arrondissement of toul, france"
"toulon",266,5.928,43.124228,"toulon, france"
"toulouse",2323,1.444209,43.604652,"toulouse, france"
"tourcoing",58,3.16207,50.724993,"tourcoing, france"
"tournon sur rhone",2,4.832137,45.067915,"tournon-sur-rhône, france"
"tours",536,0.68484,47.394144,"tours, france"
"trappes",22,2.001844,48.776731,"trappes, france"
"tremblay en france",4,2.557211,48.979952,"tremblay-en-france, france"
"troyes",138,4.0744009,48.2973451,"troyes, france"
"tulle",29,1.771697,45.26565,"tulle, france"
"ussel",4,2.313835,45.548905,"19200 ussel, france"
"valence",143,4.89236,44.933393,"valence, france"
"valenciennes",105,3.518332,50.357113,"valenciennes, france"
"vallauris",8,7.055041,43.577244,"vallauris, france"
"vandoeuvre les nancy",11111,6.1737600,48.66112,"vandœuvre-lès-nancy, france"
"vannes",151,-2.760847,47.658236,"vannes, france"
"vaulx en velin",12,4.922661,45.782029,"vaulx-en-velin, france"
