"name","gender","party","twitter","mandates","ville","departement","type","id","statuses","followers","created","last_tweeted","age","followers_sample","sample"
"Patrick GABET-ROUGEMONT","m","MODEM","pax_gr","Conseiller municipal","ceyzeriat","ain","Local","453984948",24538,319,2012,"2015-04-21",1260,318,FALSE
"Carole CANETTE","f","PS","carolecanette","Conseiller régional","","loiret","Local","59440790",273,316,2009,"2015-06-12",2154,316,FALSE
"Aline BERTRAND","f","FN","_aline_bertrand","Conseiller municipal","toulon","var","Local","1497222602",175,315,2013,"2015-06-14",736,315,FALSE
"Jean-Paul BACQUET","m","PS","jpbacquet","Député, Maire","issoire","puy de dome","MP","110950142",0,315,2010,NA,1959,309,FALSE
"Vincent REY","m","MODEM","vincentrey_","Conseiller municipal","limoges","haute vienne","Local","242664200",9949,315,2011,"2015-04-20",1603,315,FALSE
"Nicole GUERIN","f","PS","nicoleguerin85","Conseiller communautaire, Conseiller municipal, Conseiller régional","challans","vendee","Local","1524264050",387,313,2013,"2015-06-09",729,313,FALSE
"Michel VASPART","m","UMP","michelvaspart","Sénateur","dinan","cotes d armor","Senator","535228354",151,312,2012,"2015-05-21",1179,312,FALSE
"Alain NÉRI","m","PS","alainneri","Sénateur","","puy de dome","Senator","497284658",18,311,2012,"2014-08-11",1212,311,FALSE
"Georges LABAZÉE","m","PS","glabazee_senat","Sénateur","","pyrenees atlantiques","Senator","1310208470",85,311,2013,"2015-05-25",810,311,FALSE
"Leïla DIRI","f","UDI","leiladiri","Conseiller régional","","val de marne","Local","2720721328",177,310,2014,"2015-06-11",329,310,FALSE
"Olivier DOSNE","m","UMP","olivier_dosne","Député, Maire","jointville le pont","val de marne","MP","140376178",68,309,2010,"2011-11-03",1868,305,FALSE
"Anne-Catherine LOISIER","f","UDI","ac_loisier","Sénateur","","cote d or","Senator","2849912087",106,308,2014,"2015-05-23",230,308,FALSE
"Nicolas MAYER-ROSSIGNOL","m","PS","avecnmr2015","Président de Conseil Régional","","","Local","3235741163",107,308,2015,"2015-06-10",42,308,FALSE
